date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
2021-03-01,59465474091.5548,25730176175.6164,43480667443.8193,153093618391.844,140687992282.248
2021-04-01,62506475479.1222,27783498273.1664,35008982768.9636,,
2021-05-01,58060519997.7402,25039010583.9628,42949821430.4053,,
2021-06-01,57261059292.5355,27483516278.373,43771404912.0771,154787050797.736,140898681489.545
2021-07-01,67250313749.495,29965557605.2525,37175376186.2365,,
2021-08-01,66480196246.6674,28411379067.9887,35084357115.5572,,
2021-09-01,67513214655.0278,30426489911.9544,57332532674.3399,154776148204.274,148001116523.69
2021-10-01,67432569243.6494,27813153488.4998,36262224138.5512,,
2021-11-01,67594803534.0867,26030074912.0927,41225712227.863,,
2021-12-01,69765476051.3561,36163829690.2145,95254068899.4413,158581075070.253,152552503082.734
2022-01-01,68540826620.1919,31054489286.2902,34727910203.8854,,
2022-02-01,68723527428.7537,32184139312.2663,39124558078.9809,,
2022-03-01,69322334248.0961,31121100390.406,38949189052.9253,154363007430.072,154221921822.608
2022-04-01,69254751806.6569,30958445612.7516,40777054053.3752,,
2022-05-01,63725473937.1747,29901594050.2141,40501116355.7593,,
2022-06-01,72890093673.7392,30170505594.582,36477137810.0512,155412748858.205,154071131579.264
2022-07-01,67694200709.8952,28358631635.5404,41639441821.1262,,
2022-08-01,64977799293.7357,29668818083.147,45977436204.8399,,
2022-09-01,61344953283.0996,26507823125.4715,38719675502.9371,163901118486.992,155159774305.56
2022-10-01,70621741633.2712,33839909582.4395,40416963589.8106,,
2022-11-01,68714976353.9854,32672534327.3928,37104644899.3279,,
2022-12-01,68465880191.9376,30016668091.1144,45627540986.6267,172019760167.753,157143164489.251
2023-01-01,67879110026.9998,32217182076.9248,41042772942.094,,
2023-02-01,66416773775.2473,31504872628.5365,34647381429.709,,
2023-03-01,68357715797.4659,31335039621.8698,38540895287.3527,165253042864.238,157051725927.124
2023-04-01,66385387552.8611,30636881647.802,40099556298.7019,,
2023-05-01,68920692088.9883,33384569390.6569,36639432338.5597,,
2023-06-01,67747557687.6367,32443836032.7137,40501358984.5904,167392802717.638,159840119902.375
2023-07-01,78392282254.8081,35438442509.0322,33708118370.7239,,
2023-08-01,70172978173.7689,33290635059.4668,39614791353.2561,,
2023-09-01,69147623552.5188,32883684847.171,39241041836.6488,170686072849.906,162149472938.552
2023-10-01,69327735230.5745,31244924338.574,36362236656.5221,,
2023-11-01,68817560275.7588,33363169812.0697,38319989641.2095,,
2023-12-01,69545581471.8426,33568844062.6128,36657895957.3868,173280769237.401,162774422450.297
2024-01-01,70517364440.0342,35013294912.45,36603569883.313,,
2024-02-01,70163745774.4114,37027296065.6185,38200493654.0591,,
2024-03-01,65948929813.5001,30504806098.9622,36326561551.8376,174878814315.96,164608009829.481
2024-04-01,71696174037.0737,35759232823.1381,38178370375.7932,,
2024-05-01,70462132061.5663,35358729965.3721,37712126603.796,,
2024-06-01,71582884484.5414,34745798015.0656,38854584021.5414,177066504928.258,167160896979.838
2024-07-01,72544506654.8742,35031089477.9768,41946838323.9549,,
2024-08-01,73425941079.1941,36143774533.0033,37350124609.086,,
2024-09-01,73619333284.0951,37978861748.8731,38013313933.7822,179033951430.586,169535329077.465
2024-10-01,74478352754.6208,39528871262.408,39029931274.9036,,
2024-11-01,75032103406.4044,38918866359.7035,42220808126.7355,,
2024-12-01,73282903654.9426,41850142357.5726,40196585330.4112,181989116235.787,173152143705.508
2025-01-01,76389941601.2785,38665649107.1264,38524421035.9537,,
2025-02-01,75293836681.1892,36720663580.3991,40612131084.3616,,
2025-03-01,73844863438.353,37777448124.2088,41990588951.2091,182709510755.445,176142765388.454
2025-04-01,79121476399.4099,36073498098.038,39101497684.6746,,
