date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1978-05-01,,5550088189.0,6977601643.0,,,,,,,,,242568.0,6.06
1978-06-01,,7910861671.0,8487481691.0,,,,,,,,,272191.0,6.19
1978-07-01,,6495579068.0,7181782765.0,,,,,,,,,216166.0,6.54
1978-08-01,,6076854455.0,8263357905.0,,,,,,,,,152794.0,6.42
1978-09-01,,7833885865.0,7845914130.0,,,,,,,,,210845.0,6.39
1978-10-01,,6797919161.0,8304352359.0,,,,,,,,,230355.0,6.61
1978-11-01,,6246110900.0,10184990191.0,,,,,,,,,195217.0,6.72
1978-12-01,,11940032322.0,7570082934.0,,,,,,,,,155446.0,6.82
1979-01-01,,6288144667.0,11650433039.0,,,,,,,,,198373.0,7.14
1979-02-01,,5978585017.0,7332426192.0,,,,,,,,,211327.0,7.36
1979-03-01,,7953223263.0,8211654103.0,,,,,,,,,361956.0,7.41
1979-04-01,,6165073167.0,7041292389.999996,,,,,,,,,290536.0,7.68
1979-05-01,,5924478583.0,8591728814.000004,,,,,,,,,282208.0,8.07
1979-06-01,,8657919530.0,8636429234.0,,,,,,,,,249678.0,8.11
1979-07-01,,7464448702.0,8766046592.0,,,,,,,,,202044.0,7.75
1979-08-01,,7218514008.0,8936237527.0,,,,,,,,,147024.0,7.57
1979-09-01,,8707419371.0,7416724878.0,,,,,,,,,175642.0,7.45
1979-10-01,,6969935829.0,9268383621.0,,,,,,,,,206940.0,8.03
1979-11-01,,6780217796.0,10952830341.0,,,,,,,,,174845.0,7.82
1979-12-01,,12654105458.0,7171323093.0,,,,,,,,,122826.0,7.89
1980-01-01,,6702387138.0,12935631741.0,,,,,,,,,198902.0,8.1
1980-02-01,,6701274757.0,8373021616.0,,,,,,,,,221878.0,8.95
1980-03-01,,8423464702.0,8122247813.0,,,,,,,,,283372.0,9.75
1980-04-01,,6551631561.0,8697446443.0,,,,,,,,,255051.0,8.94
1980-05-01,,6559155897.0,8854280796.0,,,,,,,,,225065.0,8.25
1980-06-01,,9267378617.0,9009067395.0,,,,,,,,,216700.0,8.03
1980-07-01,,7546684510.0,9419587857.0,,,,,,,,,198780.0,7.8
1980-08-01,,7015989999.0,8942310755.0,,,,,,,,,140764.0,8.02
1980-09-01,,9345128528.0,8948062349.0,,,,,,,,,185266.0,8.43
1980-10-01,,7057895832.0,8980949354.0,,,,,,,,,200488.0,8.69
1980-11-01,,7301520408.0,10126264513.0,,,,,,,,,160936.0,8.61
1980-12-01,,13696197469.0,7882141770.0,,,,,,,,,138985.0,9.02
1981-01-01,,6284698248.0,13544729252.0,,,,,,,,,168069.0,9.14
1981-02-01,,7173007908.0,9320066347.0,,,,,,,,,200597.0,10.43
1981-03-01,,8978881305.0,9652561257.0,,,,,,,,,292759.0,9.99
1981-04-01,,7683728220.0,9499826497.0,,,,,,,,,249080.0,10.15
1981-05-01,,6703520581.0,9172037109.0,,,,,,,,,216857.0,10.56
1981-06-01,,9298129464.0,10145139963.0,,,,,,,,,202698.0,10.32
1981-07-01,,7909910933.0,10141789130.0,,,,,,,,,196735.0,10.52
1981-08-01,,7250393864.0,9345347844.0,,,,,,,,,126421.0,10.69
1981-09-01,,9213815513.0,9075590213.0,,,,,,,,,176212.0,10.44
1981-10-01,,7410856213.0,9913812736.0,,,,,,,,,191087.0,10.35
1981-11-01,,7250915296.0,10989046598.0,,,,,,,,,164106.0,9.68
1981-12-01,,14561452587.0,8328282707.0,,,,,,,,,145714.0,9.74
1982-01-01,,6716700750.0,13922058937.0,,,,,,,,,147515.0,9.76
1982-02-01,,7082643966.0,9928830868.0,,,,,,,,,181801.0,9.72
1982-03-01,,8993997841.0,10732177960.0,,,,,,,,,283505.0,9.3
1982-04-01,,12271992239.0,10079031721.0,,,,,,,,,236077.0,8.79
1982-05-01,,7040190216.0,9292861481.0,,,,,,,,,206589.0,8.8
1982-06-01,,9917919901.0,10148367273.0,,,,,,,,,194198.0,9.35
1982-07-01,,7661844198.0,10256120980.0,,,,,,,,,162762.0,9.16
1982-08-01,,7412201555.0,9724203044.0,,,,,,,,,119557.0,8.8
1982-09-01,,9489537659.0,9206558359.0,,,,,,,,,158614.0,8.6
1982-10-01,,7651719699.0,9921480707.0,,,,,,,,,176611.0,8.27
1982-11-01,,7404877292.0,12196931340.0,,,,,,,,,147659.0,8.2
1982-12-01,,14177325168.0,9677144415.0,,,,,,,,,140649.0,7.89
1983-01-01,,6502564109.0,14099057534.0,,,,,,,,,158739.0,7.86
1983-02-01,,8103631301.0,10277849170.0,,,,,,,,,180169.0,7.54
1983-03-01,,9010488727.0,10856359127.0,,,,,,,,,317113.0,7.46
1983-04-01,,12972526906.0,10462161816.0,,,,,,,,,244780.0,7.6
1983-05-01,,7003374342.0,9384443220.0,,,,,,,,,244549.0,7.98
1983-06-01,,9744286748.0,10462995717.0,,,,,,,,,262750.0,8.1
1983-07-01,,8198172889.0,10400861157.0,,,,,,,,,174319.0,8.28
1983-08-01,,8181656904.0,10093660039.0,,,,,,,,,143269.0,8.52
